Spis8973 SpisGene8973	ko00564 Glycerophospholipid metabolism;ko00903 Limonene and pinene degradation;ko00642 Ethylbenzene degradation;ko00632 Benzoate degradation via CoA ligation;ko00624 1- and 2-Methylnaphthalene degradation;ko00350 Tyrosine metabolism;ko00360 Phenylalanine metabolism
Spis20828 SpisGene20828	ko04612 Antigen processing and presentation;ko04142 Lysosome
Spis18982 SpisGene18982	ko05110 Vibrio cholerae infection
Spis11440 SpisGene11440	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis23930 SpisGene23930	ko04320 Dorso-ventral axis formation;ko04330 Notch signaling pathway
Spis17936 SpisGene17936	ko04020 Calcium signaling pathway
Spis23435 SpisGene23435	ko04144 Endocytosis
Spis4336 SpisGene4336	ko04360 Axon guidance
Spis18249 SpisGene18249	ko04612 Antigen processing and presentation;ko04142 Lysosome
Spis5597 SpisGene5597	ko04270 Vascular smooth muscle contraction;ko04530 Tight junction
Spis13942.t1 SpisGene13942	ko00230 Purine metabolism
Spis16078 SpisGene16078	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis20886 SpisGene20886	ko04514 Cell adhesion molecules (CAMs)
Spis18258 SpisGene18258	ko00561 Glycerolipid metabolism
Spis12830.t1 SpisGene12830	ko04310 Wnt signaling pathway
Spis8181 SpisGene8181	ko00830 Retinol metabolism
Spis19037 SpisGene19037	ko00561 Glycerolipid metabolism
Spis17213 SpisGene17213	ko05322 Systemic lupus erythematosus
Spis14579 SpisGene14579	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis2707 SpisGene2707	ko04510 Focal adhesion;ko04810 Regulation of actin cytoskeleton;ko05322 Systemic lupus erythematosus;ko04670 Leukocyte transendothelial migration;ko04530 Tight junction;ko04520 Adherens junction;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Spis11008 SpisGene11008	ko05010 Alzheimer's disease;ko04330 Notch signaling pathway
Spis19143 SpisGene19143	ko05200 Pathways in cancer;ko05222 Small cell lung cancer;ko04620 Toll-like receptor signaling pathway;ko04622 RIG-I-like receptor signaling pathway
Spis19032 SpisGene19032	ko04120 Ubiquitin mediated proteolysis
Spis19870 SpisGene19870	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis21064 SpisGene21064	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis13699.t1 SpisGene13699	ko04062 Chemokine signaling pathway;ko04670 Leukocyte transendothelial migration;ko04666 Fc gamma R-mediated phagocytosis
Spis10399 SpisGene10399	ko05020 Prion diseases
Spis5498 SpisGene5498	ko00364 Fluorobenzoate degradation;ko00361 gamma-Hexachlorocyclohexane degradation;ko00627 1,4-Dichlorobenzene degradation
Spis22702 SpisGene22702	ko00190 Oxidative phosphorylation;ko00195 Photosynthesis
Spis8881 SpisGene8881	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis4035 SpisGene4035	ko04930 Type II diabetes mellitus;ko04520 Adherens junction;ko04910 Insulin signaling pathway;ko04960 Aldosterone-regulated sodium reabsorption
Spis7774 SpisGene7774	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis22688 SpisGene22688	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis9876 SpisGene9876	ko00480 Glutathione metabolism
Spis25872.Novel SpisGene25872.Novel	ko00590 Arachidonic acid metabolism
Spis2958 SpisGene2958	ko04144 Endocytosis
Spis10398 SpisGene10398	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis24911 SpisGene24911	ko00564 Glycerophospholipid metabolism;ko04070 Phosphatidylinositol signaling system;ko00561 Glycerolipid metabolism
Spis21607 SpisGene21607	ko00240 Pyrimidine metabolism
Spis1601 SpisGene1601	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis3238 SpisGene3238	ko03050 Proteasome
Spis7356 SpisGene7356	ko00590 Arachidonic acid metabolism
Spis21717 SpisGene21717	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis6357 SpisGene6357	ko04621 NOD-like receptor signaling pathway
Spis7424 SpisGene7424	ko04360 Axon guidance;ko04010 MAPK signaling pathway
Spis17286.t1 SpisGene17286	ko04722 Neurotrophin signaling pathway;ko04142 Lysosome
Spis13319 SpisGene13319	ko03040 Spliceosome
Spis2232 SpisGene2232	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis4145 SpisGene4145	ko05200 Pathways in cancer;ko04810 Regulation of actin cytoskeleton;ko05219 Bladder cancer;ko04144 Endocytosis;ko04010 MAPK signaling pathway
Spis16550 SpisGene16550	ko00590 Arachidonic acid metabolism
Spis22781 SpisGene22781	ko00450 Selenoamino acid metabolism;ko00920 Sulfur metabolism
Spis18394 SpisGene18394	ko04062 Chemokine signaling pathway;ko04670 Leukocyte transendothelial migration;ko04666 Fc gamma R-mediated phagocytosis
Spis11064 SpisGene11064	ko03040 Spliceosome
Spis16814 SpisGene16814	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis7022.t1 SpisGene7022	ko00514 O-Mannosyl glycan biosynthesis
Spis7420 SpisGene7420	ko00364 Fluorobenzoate degradation;ko00361 gamma-Hexachlorocyclohexane degradation;ko00627 1,4-Dichlorobenzene degradation
Spis18834 SpisGene18834	ko05010 Alzheimer's disease
Spis12651 SpisGene12651	ko04610 Complement and coagulation cascades
Spis21002 SpisGene21002	ko04320 Dorso-ventral axis formation;ko04330 Notch signaling pathway
Spis23923 SpisGene23923	ko05020 Prion diseases
Spis18725 SpisGene18725	ko00520 Amino sugar and nucleotide sugar metabolism
Spis7928 SpisGene7928	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko04142 Lysosome
Spis2347 SpisGene2347	ko04514 Cell adhesion molecules (CAMs)
Spis17236.t1 SpisGene17236	ko04722 Neurotrophin signaling pathway
Spis3001 SpisGene3001	ko04630 Jak-STAT signaling pathway
Spis18888 SpisGene18888	ko04080 Neuroactive ligand-receptor interaction
Spis16575 SpisGene16575	ko00230 Purine metabolism;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00983 Drug metabolism - other enzymes
Spis16389 SpisGene16389	ko04514 Cell adhesion molecules (CAMs);ko04640 Hematopoietic cell lineage;ko04662 B cell receptor signaling pathway
Spis4262 SpisGene4262	ko04080 Neuroactive ligand-receptor interaction
Spis7466 SpisGene7466	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis4240 SpisGene4240	ko04142 Lysosome
Spis20989 SpisGene20989	ko05010 Alzheimer's disease;ko00190 Oxidative phosphorylation;ko05016 Huntington's disease;ko05012 Parkinson's disease
Spis19345 SpisGene19345	ko04120 Ubiquitin mediated proteolysis
Spis14968 SpisGene14968	ko00230 Purine metabolism;ko03030 DNA replication;ko00240 Pyrimidine metabolism
Spis19596 SpisGene19596	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis6697 SpisGene6697	ko03010 Ribosome
Spis2307 SpisGene2307	ko00140 Steroid hormone biosynthesis
Spis12972.t2 SpisGene12972	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko00710 Carbon fixation in photosynthetic organisms;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko00620 Pyruvate metabolism;ko01062 Biosynthesis of terpenoids and steroids;ko00630 Glyoxylate and dicarboxylate metabolism;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Spis8051 SpisGene8051	ko00230 Purine metabolism;ko00983 Drug metabolism - other enzymes;ko00240 Pyrimidine metabolism
Spis25655 SpisGene25655	ko02020 Two-component system
Spis12946 SpisGene12946	ko03018 RNA degradation
Spis10225 SpisGene10225	ko03018 RNA degradation
Spis305 SpisGene305	ko00531 Glycosaminoglycan degradation;ko04142 Lysosome
Spis6703 SpisGene6703	ko04114 Oocyte meiosis;ko04110 Cell cycle;ko04113 Meiosis - yeast;ko04111 Cell cycle - yeast
Spis15414 SpisGene15414	ko04810 Regulation of actin cytoskeleton;ko04666 Fc gamma R-mediated phagocytosis
Spis1368 SpisGene1368	ko04670 Leukocyte transendothelial migration;ko04530 Tight junction;ko04520 Adherens junction
Spis6004 SpisGene6004	ko04080 Neuroactive ligand-receptor interaction
Spis17147 SpisGene17147	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
Spis5495 SpisGene5495	ko04722 Neurotrophin signaling pathway;ko04110 Cell cycle;ko05416 Viral myocarditis;ko04012 ErbB signaling pathway;ko05200 Pathways in cancer;ko04360 Axon guidance;ko05220 Chronic myeloid leukemia;ko05130 Pathogenic Escherichia coli infection
Spis5876 SpisGene5876	ko03030 DNA replication;ko04110 Cell cycle;ko04113 Meiosis - yeast;ko04111 Cell cycle - yeast
Spis17915 SpisGene17915	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis21668 SpisGene21668	ko04621 NOD-like receptor signaling pathway;ko04722 Neurotrophin signaling pathway;ko04622 RIG-I-like receptor signaling pathway;ko04144 Endocytosis;ko05200 Pathways in cancer;ko04620 Toll-like receptor signaling pathway;ko05222 Small cell lung cancer;ko04120 Ubiquitin mediated proteolysis;ko04010 MAPK signaling pathway
Spis2916 SpisGene2916	ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04916 Melanogenesis;ko04020 Calcium signaling pathway;ko04012 ErbB signaling pathway;ko04114 Oocyte meiosis;ko04720 Long-term potentiation;ko04740 Olfactory transduction;ko05214 Glioma;ko04310 Wnt signaling pathway
Spis25197 SpisGene25197	ko00260 Glycine, serine and threonine metabolism;ko00860 Porphyrin and chlorophyll metabolism
Spis21035.t1 SpisGene21035	ko05200 Pathways in cancer;ko05222 Small cell lung cancer
Spis24577 SpisGene24577	ko01040 Biosynthesis of unsaturated fatty acids
Spis10888 SpisGene10888	ko04070 Phosphatidylinositol signaling system;ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04916 Melanogenesis;ko04020 Calcium signaling pathway;ko04626 Plant-pathogen interaction;ko04270 Vascular smooth muscle contraction;ko04114 Oocyte meiosis;ko05010 Alzheimer's disease;ko04720 Long-term potentiation;ko04740 Olfactory transduction;ko05214 Glioma;ko04910 Insulin signaling pathway
Spis20524 SpisGene20524	ko04150 mTOR signaling pathway
Spis15617 SpisGene15617	ko04360 Axon guidance
Spis6447 SpisGene6447	ko04621 NOD-like receptor signaling pathway
Spis25865.Novel SpisGene25865.Novel	ko04080 Neuroactive ligand-receptor interaction
Spis16434 SpisGene16434	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
Spis11772 SpisGene11772	ko01070 Biosynthesis of plant hormones;ko00900 Terpenoid backbone biosynthesis;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Spis9897 SpisGene9897	ko05200 Pathways in cancer;ko05220 Chronic myeloid leukemia;ko04010 MAPK signaling pathway
Spis22676 SpisGene22676	ko03040 Spliceosome
Spis7752 SpisGene7752	ko04810 Regulation of actin cytoskeleton
Spis16759 SpisGene16759	ko00770 Pantothenate and CoA biosynthesis;ko00983 Drug metabolism - other enzymes;ko00410 beta-Alanine metabolism;ko00240 Pyrimidine metabolism
Spis814 SpisGene814	ko04512 ECM-receptor interaction;ko05414 Dilated cardiomyopathy;ko05410 Hypertrophic cardiomyopathy (HCM);ko05416 Viral myocarditis;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Spis13125 SpisGene13125	ko03040 Spliceosome;ko03018 RNA degradation
Spis8463 SpisGene8463	ko03040 Spliceosome
Spis7973 SpisGene7973	ko04910 Insulin signaling pathway
Spis20242 SpisGene20242	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis17404 SpisGene17404	ko04080 Neuroactive ligand-receptor interaction
Spis6296 SpisGene6296	ko00510 N-Glycan biosynthesis
Spis10480 SpisGene10480	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis1867 SpisGene1867	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko03020 RNA polymerase
Spis15293 SpisGene15293	ko02040 Flagellar assembly;ko04626 Plant-pathogen interaction;ko02020 Two-component system
Spis13280 SpisGene13280	ko00623 2,4-Dichlorobenzoate degradation;ko00960 Tropane, piperidine and pyridine alkaloid biosynthesis
Spis11082 SpisGene11082	ko05416 Viral myocarditis
Spis7610.t1 SpisGene7610	ko05020 Prion diseases
Spis10559 SpisGene10559	ko00230 Purine metabolism
Spis23191 SpisGene23191	ko04610 Complement and coagulation cascades
Spis18194 SpisGene18194	ko04360 Axon guidance
Spis15336 SpisGene15336	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Spis23479 SpisGene23479	ko04080 Neuroactive ligand-receptor interaction
Spis6482 SpisGene6482	ko04360 Axon guidance
Spis12268 SpisGene12268	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis16865 SpisGene16865	ko00910 Nitrogen metabolism
Spis14705 SpisGene14705	ko00604 Glycosphingolipid biosynthesis - ganglio series;ko00531 Glycosaminoglycan degradation;ko00511 Other glycan degradation;ko04142 Lysosome;ko00603 Glycosphingolipid biosynthesis - globo series;ko00520 Amino sugar and nucleotide sugar metabolism
Spis15264 SpisGene15264	ko04620 Toll-like receptor signaling pathway;ko04210 Apoptosis
Spis19350 SpisGene19350	ko00623 2,4-Dichlorobenzoate degradation;ko00960 Tropane, piperidine and pyridine alkaloid biosynthesis
Spis18268 SpisGene18268	ko03040 Spliceosome
Spis2297 SpisGene2297	ko00500 Starch and sucrose metabolism;ko00052 Galactose metabolism
Spis19932 SpisGene19932	ko00051 Fructose and mannose metabolism;ko00363 Bisphenol A degradation;ko00625 Tetrachloroethene degradation;ko00591 Linoleic acid metabolism;ko00650 Butanoate metabolism
Spis3359 SpisGene3359	ko04340 Hedgehog signaling pathway
Spis17166 SpisGene17166	ko04144 Endocytosis
Spis19749 SpisGene19749	ko00965 Betalain biosynthesis;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko04916 Melanogenesis;ko00740 Riboflavin metabolism;ko00350 Tyrosine metabolism;ko00950 Isoquinoline alkaloid biosynthesis
Spis17231 SpisGene17231	ko00230 Purine metabolism
Spis18768 SpisGene18768	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis18742 SpisGene18742	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis13234 SpisGene13234	ko04080 Neuroactive ligand-receptor interaction
Spis9734 SpisGene9734	ko00440 Phosphonate and phosphinate metabolism
Spis21447 SpisGene21447	ko04514 Cell adhesion molecules (CAMs);ko04520 Adherens junction;ko04910 Insulin signaling pathway
Spis21527 SpisGene21527	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis1981 SpisGene1981	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis22157 SpisGene22157	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis2405 SpisGene2405	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis4527 SpisGene4527	ko04080 Neuroactive ligand-receptor interaction;ko04912 GnRH signaling pathway
Spis18628 SpisGene18628	ko02010 ABC transporters
Spis7978.t2 SpisGene7978	ko00564 Glycerophospholipid metabolism;ko04142 Lysosome
Spis6031 SpisGene6031	ko00520 Amino sugar and nucleotide sugar metabolism
Spis1720 SpisGene1720	ko04080 Neuroactive ligand-receptor interaction
Spis14460 SpisGene14460	ko04514 Cell adhesion molecules (CAMs)
Spis19137 SpisGene19137	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis1476 SpisGene1476	ko05110 Vibrio cholerae infection
Spis8123 SpisGene8123	ko00790 Folate biosynthesis
Spis1845 SpisGene1845	ko00531 Glycosaminoglycan degradation;ko04142 Lysosome
Spis2675 SpisGene2675	ko00564 Glycerophospholipid metabolism;ko04070 Phosphatidylinositol signaling system;ko00561 Glycerolipid metabolism
Spis21844 SpisGene21844	ko04270 Vascular smooth muscle contraction;ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
Spis10581.t1 SpisGene10581	ko04610 Complement and coagulation cascades
Spis12035 SpisGene12035	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis25058 SpisGene25058	ko00190 Oxidative phosphorylation
Spis18381 SpisGene18381	ko00564 Glycerophospholipid metabolism;ko00903 Limonene and pinene degradation;ko00642 Ethylbenzene degradation;ko00632 Benzoate degradation via CoA ligation;ko00624 1- and 2-Methylnaphthalene degradation;ko00350 Tyrosine metabolism;ko00360 Phenylalanine metabolism
Spis13254 SpisGene13254	ko04120 Ubiquitin mediated proteolysis
Spis2786 SpisGene2786	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis10238 SpisGene10238	ko00830 Retinol metabolism;ko00980 Metabolism of xenobiotics by cytochrome P450;ko00983 Drug metabolism - other enzymes;ko00982 Drug metabolism - cytochrome P450;ko00591 Linoleic acid metabolism;ko00361 gamma-Hexachlorocyclohexane degradation;ko00140 Steroid hormone biosynthesis
Spis1616 SpisGene1616	ko04310 Wnt signaling pathway
Spis20188 SpisGene20188	ko04146 Peroxisome
Spis22324 SpisGene22324	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis6045 SpisGene6045	ko04950 Maturity onset diabetes of the young;ko04930 Type II diabetes mellitus
Spis5167 SpisGene5167	ko00310 Lysine degradation;ko00930 Caprolactam degradation;ko00071 Fatty acid metabolism;ko00903 Limonene and pinene degradation;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00062 Fatty acid elongation in mitochondria;ko00632 Benzoate degradation via CoA ligation;ko00410 beta-Alanine metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Spis24776 SpisGene24776	ko04360 Axon guidance
Spis5912 SpisGene5912	ko00281 Geraniol degradation;ko00624 1- and 2-Methylnaphthalene degradation
Spis13571 SpisGene13571	ko02010 ABC transporters
Spis6557 SpisGene6557	ko00240 Pyrimidine metabolism
Spis1461.t1 SpisGene1461	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma;ko04916 Melanogenesis;ko04310 Wnt signaling pathway
Spis21036 SpisGene21036	ko05200 Pathways in cancer;ko05222 Small cell lung cancer
Spis21602 SpisGene21602	ko00330 Arginine and proline metabolism
Spis20206 SpisGene20206	ko00053 Ascorbate and aldarate metabolism
Spis2002 SpisGene2002	ko04610 Complement and coagulation cascades
Spis15853 SpisGene15853	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis3629 SpisGene3629	ko00440 Phosphonate and phosphinate metabolism
Spis13648 SpisGene13648	ko04080 Neuroactive ligand-receptor interaction
Spis25403 SpisGene25403	ko05200 Pathways in cancer;ko03430 Mismatch repair;ko05210 Colorectal cancer
Spis12431 SpisGene12431	ko00051 Fructose and mannose metabolism;ko00363 Bisphenol A degradation;ko00625 Tetrachloroethene degradation;ko00591 Linoleic acid metabolism;ko00650 Butanoate metabolism
Spis4483 SpisGene4483	ko00562 Inositol phosphate metabolism;ko00521 Streptomycin biosynthesis
Spis22900 SpisGene22900	ko04621 NOD-like receptor signaling pathway
Spis18155 SpisGene18155	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis4298 SpisGene4298	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis11825 SpisGene11825	ko04270 Vascular smooth muscle contraction;ko00230 Purine metabolism
Spis25347 SpisGene25347	ko03018 RNA degradation
Spis2980 SpisGene2980	ko04070 Phosphatidylinositol signaling system;ko04810 Regulation of actin cytoskeleton;ko04144 Endocytosis;ko04666 Fc gamma R-mediated phagocytosis;ko00562 Inositol phosphate metabolism
Spis23679 SpisGene23679	ko04360 Axon guidance
Spis8986 SpisGene8986	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis24393 SpisGene24393	ko02010 ABC transporters
Spis14890 SpisGene14890	ko00790 Folate biosynthesis;ko00670 One carbon pool by folate;ko01061 Biosynthesis of phenylpropanoids
Spis22536 SpisGene22536	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis11144 SpisGene11144	ko04626 Plant-pathogen interaction
Spis81 SpisGene81	ko04722 Neurotrophin signaling pathway;ko04110 Cell cycle;ko05416 Viral myocarditis;ko04012 ErbB signaling pathway;ko05200 Pathways in cancer;ko04360 Axon guidance;ko05220 Chronic myeloid leukemia;ko05130 Pathogenic Escherichia coli infection
Spis8017 SpisGene8017	ko00380 Tryptophan metabolism
Spis5773 SpisGene5773	ko03040 Spliceosome
Spis17760 SpisGene17760	ko00830 Retinol metabolism;ko00561 Glycerolipid metabolism
Spis19349 SpisGene19349	ko00601 Glycosphingolipid biosynthesis - lacto and neolacto series
Spis19772 SpisGene19772	ko04120 Ubiquitin mediated proteolysis
Spis6199 SpisGene6199	ko04120 Ubiquitin mediated proteolysis
Spis14018 SpisGene14018	ko05200 Pathways in cancer;ko04920 Adipocytokine signaling pathway;ko05222 Small cell lung cancer;ko04622 RIG-I-like receptor signaling pathway;ko04210 Apoptosis;ko04010 MAPK signaling pathway
Spis2478 SpisGene2478	ko04310 Wnt signaling pathway
Spis24738 SpisGene24738	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis19500 SpisGene19500	ko04621 NOD-like receptor signaling pathway;ko05120 Epithelial cell signaling in Helicobacter pylori infection
Spis12273 SpisGene12273	ko05200 Pathways in cancer;ko05210 Colorectal cancer
Spis15908 SpisGene15908	ko00071 Fatty acid metabolism
Spis15090 SpisGene15090	ko00600 Sphingolipid metabolism
Spis938 SpisGene938	ko04270 Vascular smooth muscle contraction;ko00230 Purine metabolism
Spis5029 SpisGene5029	ko00830 Retinol metabolism
Spis6769 SpisGene6769	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis8727 SpisGene8727	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis17843 SpisGene17843	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle
Spis18432 SpisGene18432	ko04080 Neuroactive ligand-receptor interaction
Spis826 SpisGene826	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma;ko04916 Melanogenesis;ko04310 Wnt signaling pathway
Spis25314 SpisGene25314	ko00564 Glycerophospholipid metabolism
Spis18227 SpisGene18227	ko04530 Tight junction
Spis12791 SpisGene12791	ko00830 Retinol metabolism;ko00500 Starch and sucrose metabolism;ko00983 Drug metabolism - other enzymes;ko00053 Ascorbate and aldarate metabolism;ko00040 Pentose and glucuronate interconversions;ko00860 Porphyrin and chlorophyll metabolism;ko00980 Metabolism of xenobiotics by cytochrome P450;ko00982 Drug metabolism - cytochrome P450;ko00140 Steroid hormone biosynthesis
Spis2585 SpisGene2585	ko03040 Spliceosome
Spis20690 SpisGene20690	ko04512 ECM-receptor interaction
Spis15501 SpisGene15501	ko04610 Complement and coagulation cascades
Spis16040 SpisGene16040	ko00512 O-Glycan biosynthesis
Spis15188.t1 SpisGene15188	ko04710 Circadian rhythm - mammal
Spis22337.t2 SpisGene22337	ko04115 p53 signaling pathway;ko04120 Ubiquitin mediated proteolysis
Spis22211 SpisGene22211	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
Spis13138 SpisGene13138	ko00480 Glutathione metabolism;ko04640 Hematopoietic cell lineage;ko04614 Renin-angiotensin system
Spis1196 SpisGene1196	ko00364 Fluorobenzoate degradation;ko00361 gamma-Hexachlorocyclohexane degradation;ko00627 1,4-Dichlorobenzene degradation
Spis24076 SpisGene24076	ko04512 ECM-receptor interaction
Spis8940 SpisGene8940	ko04626 Plant-pathogen interaction
Spis24438 SpisGene24438	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Spis16682 SpisGene16682	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis13807 SpisGene13807	ko05120 Epithelial cell signaling in Helicobacter pylori infection;ko00190 Oxidative phosphorylation;ko05110 Vibrio cholerae infection
Spis3812 SpisGene3812	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Spis10623 SpisGene10623	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
Spis8953 SpisGene8953	ko00310 Lysine degradation
Spis25365 SpisGene25365	ko00510 N-Glycan biosynthesis
Spis11439 SpisGene11439	ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00340 Histidine metabolism
Spis8033 SpisGene8033	ko00380 Tryptophan metabolism;ko00643 Styrene degradation;ko00330 Arginine and proline metabolism;ko00632 Benzoate degradation via CoA ligation;ko00460 Cyanoamino acid metabolism;ko01070 Biosynthesis of plant hormones;ko00360 Phenylalanine metabolism
Spis9730 SpisGene9730	ko00770 Pantothenate and CoA biosynthesis;ko00983 Drug metabolism - other enzymes;ko00410 beta-Alanine metabolism;ko00240 Pyrimidine metabolism
Spis2961 SpisGene2961	ko04530 Tight junction
Spis13238 SpisGene13238	ko00591 Linoleic acid metabolism
